schemaVersion,recordType,source.name,source.url,content.entityName,content.data.employeeCount,collectedAt
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/flexport,Flexport,3000,2026-09-10T13:58:53.200776+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/wepay,WePay,400,2026-09-10T13:58:53.205480+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/weebly,Weebly,201,2026-09-10T13:58:53.209652+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/flock-safety,Flock Safety,1000,2026-09-10T13:58:53.214009+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/sqreen,Sqreen,120,2026-09-10T13:58:53.217806+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/nurx,NURX,300,2026-09-10T13:58:53.221809+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/go1,Go1,650,2026-09-10T13:58:53.224965+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/coreos,CoreOS,150,2026-09-10T13:58:53.228333+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/bear-flag-robotics,Bear Flag Robotics,10,2026-09-10T13:58:53.234441+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/goat-group,GOAT Group,1600,2026-09-10T13:58:53.240476+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/heroku,Heroku,300,2026-09-10T13:58:53.243776+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/grubmarket,GrubMarket,4548,2026-09-10T13:58:53.248079+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/hellosign,HelloSign,100,2026-09-10T13:58:53.252310+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/zenefits,Zenefits,500,2026-09-10T13:58:53.258315+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/gusto,Gusto,2400,2026-09-10T13:58:53.261399+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/honeylove,Honeylove,100,2026-09-10T13:58:53.265641+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/modern-fertility,Modern Fertility,25,2026-09-10T13:58:53.272375+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/cognito,Cognito,12,2026-09-10T13:58:53.276120+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/openinvest,OpenInvest,110,2026-09-10T13:58:53.280344+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/mixpanel,Mixpanel,410,2026-09-10T13:58:53.284240+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/paystack,Paystack,115,2026-09-10T13:58:53.289829+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/moxion-power-co,Moxion Power,380,2026-09-10T13:58:53.294896+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/drchrono,DrChrono,150,2026-09-10T13:58:53.298589+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/omgpop,OMGPop,11,2026-09-10T13:58:53.301534+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/newfront-insurance,Newfront,800,2026-09-10T13:58:53.306890+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/north,North,51,2026-09-10T13:58:53.310207+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/nowports,Nowports,550,2026-09-10T13:58:53.313769+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/odeko,Odeko,371,2026-09-10T13:58:53.316931+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/gitprime,GitPrime,110,2026-09-10T13:58:53.322103+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/proxy,Proxy,20,2026-09-10T13:58:53.325597+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/futureadvisor,FutureAdvisor,51,2026-09-10T13:58:53.330407+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/podium,Podium,1000,2026-09-10T13:58:53.333816+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/rappi,Rappi,4800,2026-09-10T13:58:53.338340+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/razorpay,Razorpay,2700,2026-09-10T13:58:53.342755+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/rippling,Rippling,2500,2026-09-10T13:58:53.346591+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/scale-ai,Scale AI,500,2026-09-10T13:58:53.346618+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/scentbird,Scentbird,165,2026-09-10T13:58:53.350607+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/scribd,Scribd,300,2026-09-10T13:58:53.355461+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/shipbob,ShipBob,1,2026-09-10T13:58:53.359196+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/smartasset,SmartAsset,210,2026-09-10T13:58:53.363368+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/stripe,Stripe,7000,2026-09-10T13:58:53.367075+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/wave,Wave,1600,2026-09-10T13:58:53.370189+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/webflow,Webflow,600,2026-09-10T13:58:53.375603+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/whatnot,Whatnot,731,2026-09-10T13:58:53.379382+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/zapier,Zapier,700,2026-09-10T13:58:53.383026+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/zepto,Zepto,1300,2026-09-10T13:58:53.386584+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/focal-systems,Focal,170,2026-09-10T13:58:53.393311+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/mio,Mio,12,2026-09-10T13:58:53.396220+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/daily,Daily,126,2026-09-10T13:58:53.399484+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/petcube,Petcube,51,2026-09-10T13:58:53.403336+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/outschool,Outschool,107,2026-09-10T13:58:53.409154+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/mason,Mason,65,2026-09-10T13:58:53.412505+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/magicbus,MagicBus,18,2026-09-10T13:58:54.488150+00:00
