rawName,canonicalName,source,confidenceScore,method,timestamp
GOAT Group,GOAT Group,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:53.240435+00:00
Heroku,Heroku,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:53.243761+00:00
GrubMarket,GrubMarket,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:53.248045+00:00
HelloSign,HelloSign,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:53.252296+00:00
Zenefits,Zenefits,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:53.258265+00:00
Gusto,Gusto,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:53.261383+00:00
Honeylove,Honeylove,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:53.265612+00:00
Modern Fertility,Modern Fertility,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:53.272331+00:00
Cognito,Cognito,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:53.276087+00:00
OpenInvest,OpenInvest,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:53.280322+00:00
Mixpanel,Mixpanel,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:53.284226+00:00
Paystack,Paystack,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:53.289780+00:00
Moxion Power Co.,Moxion Power,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:53.294862+00:00
DrChrono,DrChrono,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:53.298566+00:00
OMGPop,OMGPop,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:53.301520+00:00
Newfront,Newfront,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:53.306847+00:00
North,North,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:53.310179+00:00
Nowports,Nowports,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:53.313754+00:00
Odeko,Odeko,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:53.316915+00:00
GitPrime,GitPrime,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:53.322049+00:00
Proxy,Proxy,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:53.325556+00:00
FutureAdvisor,FutureAdvisor,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:53.330386+00:00
Podium,Podium,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:53.333800+00:00
Rappi,Rappi,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:53.338246+00:00
Razorpay,Razorpay,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:53.342717+00:00
Rippling,Rippling,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:53.346573+00:00
Scale AI,Scale AI,Y Combinator,1.0,ExactSeedMatch,2026-09-10T13:58:53.346605+00:00
Scentbird,Scentbird,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:53.350593+00:00
Scribd,Scribd,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:53.355378+00:00
ShipBob,ShipBob,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:53.359167+00:00
SmartAsset,SmartAsset,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:53.363350+00:00
Stripe,Stripe,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:53.367051+00:00
Wave,Wave,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:53.370174+00:00
Webflow,Webflow,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:53.375564+00:00
Whatnot,Whatnot,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:53.379361+00:00
Zapier,Zapier,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:53.383011+00:00
Zepto,Zepto,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:53.386547+00:00
Focal Systems,Focal,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:53.393271+00:00
Mio,Mio,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:53.396195+00:00
Daily,Daily,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:53.399470+00:00
Petcube,Petcube,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:53.403305+00:00
Outschool,Outschool,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:53.409114+00:00
Mason,Mason,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:53.412490+00:00
MagicBus,MagicBus,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.487843+00:00
Tovala,Tovala,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.491864+00:00
iSono Health,iSono Health,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.496588+00:00
GetAccept,GetAccept,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.501008+00:00
Chatfuel,Chatfuel,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.506410+00:00
Yardbook,Yardbook,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.510102+00:00
GoCardless,GoCardless,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.514208+00:00
Stealth Worker,Stealth Worker,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.520709+00:00
Deepgram,Deepgram,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.526173+00:00
SOUNDBOKS,SOUNDBOKS,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.529962+00:00
Lattice,Lattice,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.534250+00:00
Mux,Mux,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.538177+00:00
Human Interest,Human Interest,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.543595+00:00
Flirtey (SkyDrop),Flirtey (SkyDrop),Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.548816+00:00
Eight Sleep,Eight Sleep,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.554825+00:00
Instawork,Instawork,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.558662+00:00
Cofactor Genomics,Cofactor Genomics,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.564055+00:00
Bitmovin,Bitmovin,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.567734+00:00
TetraScience,TetraScience,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.574713+00:00
The Ticket Fairy,The Ticket Fairy,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.579983+00:00
Font Awesome,Font Awesome,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.584452+00:00
"80,000 Hours","80,000 Hours",Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.590214+00:00
Xendit,Xendit,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.593890+00:00
Shred Video,Shred Video,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.598793+00:00
Shape (ShapeScale),Shape (ShapeScale),Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.606225+00:00
RedCarpetUp,RedCarpetUp,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.610708+00:00
Plate IQ,Plate IQ,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.614782+00:00
PickTrace,PickTrace,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.618802+00:00
Fountain,Fountain,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.624586+00:00
Microhealth,Microhealth,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.629118+00:00
Zeplin,Zeplin,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.632745+00:00
Markhor,Markhor,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.637695+00:00
Circle Medical,Circle Medical,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.643137+00:00
GiveCampus,GiveCampus,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.647425+00:00
Drip Capital,Drip Capital,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.652119+00:00
Chaldal,Chaldal,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.657654+00:00
Clerky,Clerky,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.660958+00:00
Bodyport,Bodyport,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.664398+00:00
Verge Genomics,Verge Genomics,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.670913+00:00
Thrive Agritech,Thrive Agritech,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.677094+00:00
Tesorio,Tesorio,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.680894+00:00
AgileMD,AgileMD,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.684629+00:00
Reach,Reach,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.689594+00:00
SunFarmer,SunFarmer,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.693665+00:00
Confident LIMS,Confident LIMS,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.698473+00:00
Branch8,Branch8,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.702000+00:00
Heroic Labs,Heroic,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.708204+00:00
SnapMagic,SnapMagic,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.712390+00:00
Assembly,Assembly,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.715956+00:00
Gemnote,Gemnote,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.721088+00:00
New Story,New Story,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.725432+00:00
Ironclad,Ironclad,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.729230+00:00
Leaders In Tech,Leaders In Tech,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.734201+00:00
teaBOT,teaBOT,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.743640+00:00
Teleport,Teleport,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.747416+00:00
Lugg,Lugg,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.750348+00:00
Shasqi,Shasqi,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.757703+00:00
Mashgin,Mashgin,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.762046+00:00
NimbleRx,NimbleRx,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.766640+00:00
Quartzy,Quartzy,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.772669+00:00
Replika,Replika,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.777278+00:00
Tara AI,Tara AI,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.781564+00:00
Flip,Flip,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.787314+00:00
X-Zell,X-Zell,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.792804+00:00
Zenflow,Zenflow,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.796643+00:00
Tab,Tab,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.799593+00:00
Streak,Streak,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.804990+00:00
Meadow,Meadow,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.808556+00:00
Level Frames,Level Frames,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.813187+00:00
Industrial Microbes,Industrial Microbes,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.818452+00:00
Giveffect,Giveffect,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.824092+00:00
eBrandvalue,eBrandvalue,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.828706+00:00
Quantierra,Quantierra,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.833103+00:00
Cleanly,Cleanly,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.838274+00:00
Resolve,Resolve,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.841908+00:00
Makrwatch,Makrwatch,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.846146+00:00
TeamNote,TeamNote,Y Combinator,0.8,DeterministicRuleCleaned,2026-09-10T13:58:54.850140+00:00
